Jul.Day,YYYY/MM/DD,Wdy,EUR/USD
2456716,2014/2/27,Thu,0.72863
2456717,2014/2/28,Fri,0.72433
2456720,2014/3/3,Mon,0.72658
2456721,2014/3/4,Tue,0.72826
2456722,2014/3/5,Wed,0.72814
2456723,2014/3/6,Thu,0.72211
2456724,2014/3/7,Fri,0.7211
2456727,2014/3/10,Mon,0.7205
2456728,2014/3/11,Tue,0.72112
2456729,2014/3/12,Wed,0.71921
2456730,2014/3/13,Thu,0.71808
2456731,2014/3/14,Fri,0.71816
2456734,2014/3/17,Mon,0.71803
2456735,2014/3/18,Tue,0.71875
2456736,2014/3/19,Wed,0.71895
2456737,2014/3/20,Thu,0.72554
2456738,2014/3/21,Fri,0.72566
2456741,2014/3/24,Mon,0.72555
2456742,2014/3/25,Tue,0.72586
2456743,2014/3/26,Wed,0.72536
2456744,2014/3/27,Thu,0.72787
2456745,2014/3/28,Fri,0.72718
2456748,2014/3/31,Mon,0.72588
2456749,2014/4/1,Tue,0.72446
2456750,2014/4/2,Wed,0.72668
2456751,2014/4/3,Thu,0.72959
2456752,2014/4/4,Fri,0.72977
2456755,2014/4/7,Mon,0.72752
2456756,2014/4/8,Tue,0.72451
2456757,2014/4/9,Wed,0.72378
2456758,2014/4/10,Thu,0.71988
2456759,2014/4/11,Fri,0.71954
2456762,2014/4/14,Mon,0.72338
2456763,2014/4/15,Tue,0.72429
2456764,2014/4/16,Wed,0.72357
2456765,2014/4/17,Thu,0.72303
2456769,2014/4/21,Mon,0.72521
2456770,2014/4/22,Tue,0.72444
2456771,2014/4/23,Wed,0.72388
2456772,2014/4/24,Thu,0.72322
2456773,2014/4/25,Fri,0.72264
2456776,2014/4/28,Mon,0.72234
2456777,2014/4/29,Tue,0.72425
2456778,2014/4/30,Wed,0.72104
2456779,2014/5/1,Thu,0.72114
2456780,2014/5/2,Fri,0.72129
2456783,2014/5/5,Mon,0.72025
2456784,2014/5/6,Tue,0.7182
2456785,2014/5/7,Wed,0.71854
2456786,2014/5/8,Thu,0.72127
2456787,2014/5/9,Fri,0.72662
2456790,2014/5/12,Mon,0.72682
2456791,2014/5/13,Tue,0.72939
2456792,2014/5/14,Wed,0.72896
2456793,2014/5/15,Thu,0.7293
2456794,2014/5/16,Fri,0.72955
2456798,2014/5/20,Tue,0.7299
2456799,2014/5/21,Wed,0.73228
2456800,2014/5/22,Thu,0.73249
2456801,2014/5/23,Fri,0.73382
2456804,2014/5/26,Mon,0.73269
2456805,2014/5/27,Tue,0.73434
2456806,2014/5/28,Wed,0.7356
2456807,2014/5/29,Thu,0.73486
2456808,2014/5/30,Fri,0.73317
2456811,2014/6/2,Mon,0.73501
2456812,2014/6/3,Tue,0.73398
2456813,2014/6/4,Wed,0.73427
2456814,2014/6/5,Thu,0.73427
2456815,2014/6/6,Fri,0.73317
2456818,2014/6/9,Mon,0.73587
2456819,2014/6/10,Tue,0.73845
2456820,2014/6/11,Wed,0.7387
2456821,2014/6/12,Thu,0.73771
2456822,2014/6/13,Fri,0.73952
2456825,2014/6/16,Mon,0.73654
2456826,2014/6/17,Tue,0.73843
2456827,2014/6/18,Wed,0.7371
