Jul.Day,YYYY/MM/DD,Wdy,JPY/USD
2456660,2014/1/2,Thu,104.86
2456661,2014/1/3,Fri,104.47
2456664,2014/1/6,Mon,104.4
2456665,2014/1/7,Tue,104.6
2456666,2014/1/8,Wed,104.89
2456667,2014/1/9,Thu,104.74
2456668,2014/1/10,Fri,104.07
2456671,2014/1/13,Mon,103.32
2456672,2014/1/14,Tue,103.84
2456673,2014/1/15,Wed,104.42
2456674,2014/1/16,Thu,104.36
2456675,2014/1/17,Fri,104.29
2456678,2014/1/20,Mon,104.2
2456679,2014/1/21,Tue,104.2
2456680,2014/1/22,Wed,104.33
2456681,2014/1/23,Thu,103.63
2456682,2014/1/24,Fri,102.43
2456685,2014/1/27,Mon,102.29
2456686,2014/1/28,Tue,102.84
2456687,2014/1/29,Wed,102.18
2456688,2014/1/30,Thu,102.86
2456689,2014/1/31,Fri,102.29
2456692,2014/2/3,Mon,101.15
2456693,2014/2/4,Tue,101.61
2456694,2014/2/5,Wed,101.38
2456695,2014/2/6,Thu,101.9
2456696,2014/2/7,Fri,102.3
2456699,2014/2/10,Mon,102.11
2456700,2014/2/11,Tue,102.65
2456701,2014/2/12,Wed,102.45
2456702,2014/2/13,Thu,102.23
2456703,2014/2/14,Fri,101.86
2456707,2014/2/18,Tue,102.27
2456708,2014/2/19,Wed,102.27
2456709,2014/2/20,Thu,102.34
2456710,2014/2/21,Fri,102.75
2456713,2014/2/24,Mon,102.48
2456714,2014/2/25,Tue,102.16
2456715,2014/2/26,Wed,102.37
2456716,2014/2/27,Thu,102.11
2456717,2014/2/28,Fri,102.07
2456720,2014/3/3,Mon,101.39
2456721,2014/3/4,Tue,102.15
2456722,2014/3/5,Wed,102.32
2456723,2014/3/6,Thu,103.06
2456724,2014/3/7,Fri,103.35
2456727,2014/3/10,Mon,103.21
2456728,2014/3/11,Tue,103.21
2456729,2014/3/12,Wed,102.69
2456730,2014/3/13,Thu,102.1
2456731,2014/3/14,Fri,101.44
2456734,2014/3/17,Mon,101.67
2456735,2014/3/18,Tue,101.33
2456736,2014/3/19,Wed,101.53
2456737,2014/3/20,Thu,102.37
2456738,2014/3/21,Fri,102.42
2456741,2014/3/24,Mon,102.25
2456742,2014/3/25,Tue,102.34
2456743,2014/3/26,Wed,102.32
2456744,2014/3/27,Thu,102.1
2456745,2014/3/28,Fri,102.92
2456748,2014/3/31,Mon,103.01
2456749,2014/4/1,Tue,103.54
2456750,2014/4/2,Wed,103.77
2456751,2014/4/3,Thu,103.91
2456752,2014/4/4,Fri,103.37
2456755,2014/4/7,Mon,103.01
2456756,2014/4/8,Tue,102.07
2456757,2014/4/9,Wed,101.9
2456758,2014/4/10,Thu,101.41
2456759,2014/4/11,Fri,101.58
2456762,2014/4/14,Mon,101.86
2456763,2014/4/15,Tue,101.58
2456764,2014/4/16,Wed,102.3
2456765,2014/4/17,Thu,102.21
2456769,2014/4/21,Mon,102.62
2456770,2014/4/22,Tue,102.57
2456771,2014/4/23,Wed,102.24
2456772,2014/4/24,Thu,102.39
2456773,2014/4/25,Fri,102.15
2456776,2014/4/28,Mon,102.44
2456777,2014/4/29,Tue,102.55
2456778,2014/4/30,Wed,102.12
2456779,2014/5/1,Thu,102.29
2456780,2014/5/2,Fri,102.36
2456783,2014/5/5,Mon,102.1
2456784,2014/5/6,Tue,101.59
2456785,2014/5/7,Wed,101.74
2456786,2014/5/8,Thu,101.67
2456787,2014/5/9,Fri,101.77
2456790,2014/5/12,Mon,102.13
2456791,2014/5/13,Tue,102.18
2456792,2014/5/14,Wed,101.75
2456793,2014/5/15,Thu,101.46
2456794,2014/5/16,Fri,101.51
2456798,2014/5/20,Tue,101.31
2456799,2014/5/21,Wed,101.42
2456800,2014/5/22,Thu,101.76
2456801,2014/5/23,Fri,101.87
2456804,2014/5/26,Mon,101.92
2456805,2014/5/27,Tue,102.15
2456806,2014/5/28,Wed,101.75
2456807,2014/5/29,Thu,101.57
2456808,2014/5/30,Fri,101.75
2456811,2014/6/2,Mon,102.3
2456812,2014/6/3,Tue,102.39
2456813,2014/6/4,Wed,102.69
2456814,2014/6/5,Thu,102.47
2456815,2014/6/6,Fri,102.49
2456818,2014/6/9,Mon,102.54
2456819,2014/6/10,Tue,102.39
2456820,2014/6/11,Wed,101.94
2456821,2014/6/12,Thu,101.79
2456822,2014/6/13,Fri,102.05
2456825,2014/6/16,Mon,101.78
2456826,2014/6/17,Tue,102.18
2456827,2014/6/18,Wed,102.16
2456828,2014/6/19,Thu,101.86
2456829,2014/6/20,Fri,102.14
2456832,2014/6/23,Mon,101.91
2456833,2014/6/24,Tue,102.09
2456834,2014/6/25,Wed,101.72
2456835,2014/6/26,Thu,101.68
2456836,2014/6/27,Fri,101.39
2456839,2014/6/30,Mon,101.29
2456841,2014/7/2,Wed,101.78
2456842,2014/7/3,Thu,102.15
2456843,2014/7/4,Fri,102.1
2456846,2014/7/7,Mon,101.83
2456847,2014/7/8,Tue,101.56
2456848,2014/7/9,Wed,101.72
2456849,2014/7/10,Thu,101.31
2456850,2014/7/11,Fri,101.32
2456853,2014/7/14,Mon,101.53
2456854,2014/7/15,Tue,101.66
2456855,2014/7/16,Wed,101.7
2456856,2014/7/17,Thu,101.25
2456857,2014/7/18,Fri,101.39
2456860,2014/7/21,Mon,101.39
2456861,2014/7/22,Tue,101.56
2456862,2014/7/23,Wed,101.52
2456863,2014/7/24,Thu,101.82
2456864,2014/7/25,Fri,101.83
2456867,2014/7/28,Mon,101.8
2456868,2014/7/29,Tue,102.08
2456869,2014/7/30,Wed,102.92
2456870,2014/7/31,Thu,102.74
2456871,2014/8/1,Fri,102.43
2456875,2014/8/5,Tue,102.81
2456876,2014/8/6,Wed,102.3
2456877,2014/8/7,Thu,102.07
2456878,2014/8/8,Fri,101.87
