id,p11,p13,p16,p18,p20,p22,p23,p24,p27,p28,p33,p35,p39,p43,p46,p50,p52,p56,p58,p60,p65,p68,p73,p77,income,p82,p85
调查户1,48,3,0,0,0,29.93115834,10.38611194,0,0,59.68272972,1,1,0,100,0.7,0,0,34000,14000,150,160,3,4,0,11136.66667,17564.01505,7849.122942
调查户2,42,6,1,0,0,55.97349095,9.224431309,0,0,34.80207774,1,0,0,200,1,0,0,1500,0,15444,455,3,5,1,7444,17564.01505,7849.122942
调查户3,63,5,1,1,0,64.27354822,13.81881287,0,0,21.90763891,1,1,0,0,2.5,0,0,5100,2100,1117,250,3,5,0,6223.4,17564.01505,7849.122942
调查户4,38,4,1,0,0,80.06405124,21.21697358,0,0,-1.28102482,0,1,0,0,1.5,0,0,700,200,400,120,2,5,0,3122.5,17564.01505,7849.122942
调查户5,33,2,1,1,0,4.035186829,4.487127754,0,0,91.47768542,1,1,0,0,1.2,0,0,17000,7000,15160,250,3,5,0,24782,17564.01505,7849.122942
调查户6,56,2,0,0,1,23.34703026,22.88942846,0,0,53.76354128,1,1,0,0,2.7,0,0,7000,0,917,250,2,1,1,5354,17564.01505,7849.122942
调查户7,38,2,0,1,1,0,3.833865815,0,0,96.16613419,0,1,0,300,0,1,0,2500,0,200,200,2,1,1,15650,17564.01505,7849.122942
调查户8,65,7,1,1,1,88.13345924,17.31192949,0,0,-5.445388732,1,1,0,0,2,0,0,22000,0,1220,225,2,1,1,4538.571429,17564.01505,7849.122942
调查户9,67,6,1,1,0,68.91957086,9.396034827,0,0.07121689,21.61317742,1,0,0,1200,0.5,0,0,1800,300,8628,300,2,3,0,7254.833333,17564.01505,7849.122942
调查户10,50,6,1,1,1,56.04259237,12.393419,0,0,31.56398863,1,0,0,0,3,0,1,2400,900,15500,330,2,1,1,8327,17564.01505,7849.122942
调查户11,66,6,1,1,1,89.97188379,11.11527648,0,0,-1.087160262,0,1,0,0,4.5,0,0,15000,0,500,300,2,1,1,8891.666667,17564.01505,7849.122942
调查户12,55,4,1,0,0,47.1475719,5.657708628,0,0,47.19471947,1,1,0,300,0,0,0,2800,300,560,360,2,3,0,10605,17564.01505,7849.122942
调查户13,54,4,1,0,0,56.56108597,10.52036199,0,0,32.91855204,1,0,0,250,1,0,0,7000,2000,17000,110,2,5,1,8840,17564.01505,7849.122942
调查户14,40,3,1,0,0,96.33911368,6.936416185,0,0,-3.275529865,1,1,0,250,0,1,0,1200,400,200,180,2,5,0,8650,17564.01505,7849.122942
调查户15,51,1,0,1,0,0,13.4529148,0,0,86.5470852,0,1,0,150,0,1,0,8000,6000,140,200,2,5,0,4460,17564.01505,7849.122942
调查户16,53,1,0,0,1,0,4.6875,0,0,95.3125,0,1,0,300,0,0,0,600,360,1500,240,2,1,0,19200,17564.01505,7849.122942
调查户17,49,2,0,0,1,0,43.18573893,0,0,56.81426107,0,1,0,0,2,0,0,500,300,320,240,2,1,0,8695,17564.01505,7849.122942
调查户18,61,5,1,0,1,0,24.8465361,0,0,75.1534639,0,1,0,800,0,0,0,16000,14000,700,240,2,1,0,6842,17564.01505,7849.122942
调查户19,38,2,0,0,1,28.08158439,14.49896542,0,0,57.41945019,1,0,1,300,0.4,0,0,2000,1200,6150,200,2,2,1,6766,17564.01505,7849.122942
调查户20,40,3,1,0,0,0,12.87381473,0,0,87.12618527,0,1,0,0,1.3,0,0,200,0,350,160,2,5,0,9140,17564.01505,7849.122942
调查户21,36,4,1,1,0,0,10.71122536,0,0,89.28877464,0,1,0,370,0,0,0,700,100,320,200,2,5,0,5835,17564.01505,7849.122942
调查户22,48,3,1,0,0,0,16.00625652,0,0,83.99374348,0,1,0,0,2,0,0,300,50,370,240,2,5,0,6393.333333,17564.01505,7849.122942
调查户23,61,4,1,1,1,0,35.85078384,17.16443529,0,46.98478087,0,0,0,0,3.33,0,1,10000,0,500,275,2,1,1,4369.5,17564.01505,7849.122942
