date	k1_bd_pc	k1_bd_mob	k1_sg_pc	k1_sg_mob	k1_weixin	k1_media	k2_bd_pc	k2_bd_mob	k2_sg_pc	k2_sg_mob	k2_weixin	k2_media	k3_bd_pc	k3_bd_mob	k3_sg_pc	k3_sg_mob	k3_weixin	k3_media	k4_bd_pc	k4_bd_mob	k4_sg_pc	k4_sg_mob	k4_weixin	k4_media	k5_bd_pc	k5_bd_mob	k5_sg_pc	k5_sg_mob	k5_weixin	k5_media	k6_bd_pc	k6_bd_mob	k6_sg_pc	k6_sg_mob	k6_weixin	k6_media	k7_bd_pc	k7_bd_mob	k7_sg_pc	k7_sg_mob	k7_weixin	k7_media	k8_bd_pc	k8_bd_mob	k8_sg_pc	k8_sg_mob	k8_weixin	k8_media	k9_bd_pc	k9_bd_mob	k9_sg_pc	k9_sg_mob	k9_weixin	k9_media	k10_bd_pc	k10_bd_mob	k10_sg_pc	k10_sg_mob	k10_weixin	k10_media
2016/10/10	487	1369	553	1375	23665	457	68	160	127	263	0	0	184	104	20	51	32	16	NA	NA	9	41	0	0	270	859	310	475	0	2	97	277	92	151	0	7	91	125	52	88	0	14	159	326	258	392	1367	4	0	0	4	21	NA	0	459	305	89	55	0	0
2016/10/11	434	1168	579	1171	2129	182	83	135	136	276	0	0	193	112	13	64	295	18	NA	NA	11	55	0	0	248	855	284	388	1813	9	101	267	74	103	0	7	83	130	58	63	0	18	159	298	212	333	663	2	0	0	1	10	NA	0	343	304	83	49	0	1
2016/10/12	381	1080	867	1016	7913	131	66	139	384	189	0	0	187	91	59	90	0	11	NA	NA	10	34	0	0	274	841	294	426	0	16	102	219	64	95	0	3	78	101	78	76	86	20	163	265	220	312	517	1	0	0	6	3	NA	0	341	282	109	62	0	27
2016/10/13	319	1003	527	939	2537	108	66	121	147	197	0	0	198	101	19	70	0	0	NA	NA	9	32	0	0	288	844	300	379	0	8	97	208	89	71	0	8	78	110	80	64	0	14	146	267	240	335	497	1	0	0	6	1	NA	0	360	333	93	41	0	13
2016/10/14	321	988	574	897	1211	128	64	122	99	202	0	0	182	87	20	39	0	3	NA	NA	4	25	0	0	233	843	293	352	21	9	106	208	52	100	0	8	91	119	110	71	268	48	120	237	181	307	292	0	0	0	3	8	NA	0	299	299	70	42	0	7
2016/10/15	207	977	314	841	0	57	64	113	72	167	0	0	120	95	15	41	0	0	NA	NA	4	38	0	0	162	868	187	422	0	36	95	243	37	114	0	13	66	104	43	75	0	22	106	262	128	285	0	0	0	0	6	13	NA	0	150	204	35	43	1080	2
2016/10/16	215	977	228	1098	0	47	68	122	51	235	0	0	114	91	8	62	0	3	NA	NA	3	27	0	0	204	868	207	418	0	0	64	235	37	95	0	15	66	157	73	87	0	30	99	281	121	312	0	0	0	0	2	11	NA	0	121	200	32	46	0	1
2016/10/17	291	942	373	887	359	40	61	143	78	177	0	0	157	104	8	73	381	8	NA	NA	18	50	0	0	253	859	350	388	0	3	97	224	73	85	0	4	116	110	59	102	0	22	165	260	258	289	1070	4	0	0	6	4	NA	0	433	307	77	61	0	2
2016/10/18	315	965	548	934	0	30	76	159	86	177	0	0	157	118	14	49	0	2	NA	NA	10	39	0	0	290	856	313	419	0	1	97	205	83	75	0	10	78	112	291	45	1396	6	162	262	209	269	546	0	0	0	5	9	NA	0	416	336	86	65	0	0
2016/10/19	341	999	2960	995	4706	86	64	130	212	180	0	0	170	89	29	35	0	4	NA	NA	14	24	0	0	281	861	277	336	0	0	112	199	43	88	0	0	83	104	75	80	0	16	162	234	244	282	1321	2	0	0	6	17	NA	0	402	350	82	58	0	1
